OBJECTID,Codigo_Muniicipio,Departamento,Municipio,Periodo_1980_1988,Periodo_1989_1996,Periodo_1997_2004,Periodo_2005_2014,Descripcion,Periodo,Fuente,Fecha_Actualizacion,Total_1989_2014,Shape_Length,Shape_Area
18,05086,ANTIOQUIA,BELMIRA,8,33,253,216,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,510,1.17300353408154,0.0242003553550646
19,05088,ANTIOQUIA,BELLO,45,509,2583,4745,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7882,0.620634840359621,0.0120627474540159
20,05091,ANTIOQUIA,BETANIA,31,693,1432,375,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2531,0.692872364337205,0.0147212975479365
21,05093,ANTIOQUIA,BETULIA,25,427,15040,1942,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,17434,0.847675552980735,0.0214135235662533
22,05101,ANTIOQUIA,CIUDAD BOLÍVAR,47,514,2038,1216,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3815,0.737861049383202,0.0215147187931599
23,05107,ANTIOQUIA,BRICEÑO,56,229,2326,3087,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5698,1.00447196975619,0.0307849622582233
24,05113,ANTIOQUIA,BURITICÁ,51,151,5002,768,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,5972,0.965814852985288,0.0290347315003772
25,05120,ANTIOQUIA,CÁCERES,60,960,3995,10788,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,15803,2.94305244927775,0.153584235082767
26,05125,ANTIOQUIA,CAICEDO,33,277,1122,1226,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2658,0.645523391146678,0.0163405210858261
27,05129,ANTIOQUIA,CALDAS,7,28,488,759,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1282,0.529328243123499,0.0108362037074636
28,05134,ANTIOQUIA,CAMPAMENTO,69,240,1535,1301,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3145,0.874294739898106,0.0189942921849632
29,05138,ANTIOQUIA,CAÑASGORDAS,133,991,4220,2040,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7384,1.0619454564821,0.0298102278748356
30,05142,ANTIOQUIA,CARACOLÍ,29,114,423,279,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,845,1.01478528565599,0.0214749880267446
31,05145,ANTIOQUIA,CARAMANTA,6,140,284,194,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,624,0.500040609864907,0.0075076973231311
32,05147,ANTIOQUIA,CAREPA,329,5344,7126,4847,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,17646,1.30890727519127,0.0316843882377253
33,05148,ANTIOQUIA,EL CARMEN DE VIBORAL,23,842,5716,1561,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,8142,1.39187806836901,0.0345877939391296
34,05150,ANTIOQUIA,CAROLINA,1,56,190,89,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,336,0.580840647805527,0.0122291711280064
35,05154,ANTIOQUIA,CAUCASIA,94,707,3266,14060,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,18127,3.03811214702597,0.117064752126533
36,05172,ANTIOQUIA,CHIGORODÓ,695,8708,10487,9767,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,29657,1.61038554469984,0.0590231957453739
37,05190,ANTIOQUIA,CISNEROS,27,143,276,431,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,877,0.387912893938287,0.00383214750901831
38,05197,ANTIOQUIA,COCORNÁ,190,1462,24355,3549,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,29556,1.12187948750304,0.0197387241618039
39,05206,ANTIOQUIA,CONCEPCIÓN,4,94,2422,171,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2691,0.715055877613032,0.0165080224531012
40,05209,ANTIOQUIA,CONCORDIA,26,188,2149,1131,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3494,0.749955373045206,0.0202276879598421
41,05212,ANTIOQUIA,COPACABANA,1,48,272,462,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,783,0.514612210723027,0.00554248699157331
42,05234,ANTIOQUIA,DABEIBA,243,2654,23951,8414,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,35262,2.59275579286174,0.159926483090437
43,05237,ANTIOQUIA,DONMATÍAS,1,10,170,285,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,466,0.930370733977026,0.0166137668057752
44,05240,ANTIOQUIA,EBÉJICO,8,114,312,384,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,818,0.803674139578725,0.019412550036692
45,05250,ANTIOQUIA,EL BAGRE,267,912,16361,14909,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,32449,2.29665528858841,0.127866886513404
46,05264,ANTIOQUIA,ENTRERRÍOS,6,0,77,104,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,187,0.79239757999462,0.0175026451810352
47,05266,ANTIOQUIA,ENVIGADO,20,66,143,213,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,442,0.472172321956635,0.00680351310020893
48,05282,ANTIOQUIA,FREDONIA,15,31,263,285,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,594,0.862407295470477,0.0210300797516911
49,05284,ANTIOQUIA,FRONTINO,142,2306,9237,2482,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,14167,2.38959147676576,0.113029442656407
50,05306,ANTIOQUIA,GIRALDO,10,110,363,180,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,663,0.492792907221649,0.00763209163617512
51,05308,ANTIOQUIA,GIRARDOTA,0,33,375,385,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,793,0.414914648810918,0.00676852455464515
52,05310,ANTIOQUIA,GÓMEZ PLATA,0,31,403,208,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,642,0.906549482247196,0.0271595323180139
53,05313,ANTIOQUIA,GRANADA,204,1968,26723,2596,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,31491,0.763961278628513,0.0155351735167291
54,05315,ANTIOQUIA,GUADALUPE,27,140,530,460,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1157,0.494100110259374,0.00966689304558542
55,05318,ANTIOQUIA,GUARNE,31,88,576,376,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1071,0.704426650781174,0.0124010841307713
56,05321,ANTIOQUIA,GUATAPÉ,11,69,1139,97,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1316,0.500451791087027,0.00680648324931776
57,05347,ANTIOQUIA,HELICONIA,7,55,1400,316,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1778,0.540329343106315,0.00937908385514411
58,05353,ANTIOQUIA,HISPANIA,14,50,123,57,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,244,0.344158287910716,0.00441932074936102
59,05360,ANTIOQUIA,ITAGÜÍ,24,213,663,3244,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4144,0.212419499895511,0.00160427852864672
60,05361,ANTIOQUIA,ITUANGO,161,924,19417,13178,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,33680,3.20201359999916,0.232428496915684
61,05364,ANTIOQUIA,JARDÍN,14,112,415,529,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1070,0.716587701009434,0.0164060767187355
62,05368,ANTIOQUIA,JERICÓ,4,25,116,94,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,239,0.742706945939515,0.0167225134538936
63,05376,ANTIOQUIA,LA CEJA,27,164,879,531,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1601,0.656335285252018,0.0108338737352029
64,05380,ANTIOQUIA,LA ESTRELLA,4,34,109,414,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,561,0.284667179154432,0.00299099211310286
65,05390,ANTIOQUIA,LA PINTADA,2,28,581,246,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,857,0.456151805775137,0.00445735749963643
66,05400,ANTIOQUIA,LA UNIÓN,10,649,5525,841,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7025,0.681774139818314,0.0136923849546488
67,05411,ANTIOQUIA,LIBORINA,44,495,3496,510,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4545,0.671059350294571,0.0176848155404213
68,05425,ANTIOQUIA,MACEO,107,519,807,704,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2137,1.37747806503437,0.0316446943034894
69,05440,ANTIOQUIA,MARINILLA,8,124,2582,708,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,3422,0.613405988792655,0.00937941291874445
70,05467,ANTIOQUIA,MONTEBELLO,15,130,3211,666,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4022,0.472159381297502,0.00620433085082349
71,05475,ANTIOQUIA,MURINDÓ,59,81,2223,603,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2966,1.8734431061711,0.103365965301408
72,05480,ANTIOQUIA,MUTATÁ,569,5257,25643,5339,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,36808,1.66108431613997,0.0878972577868499
73,05483,ANTIOQUIA,NARIÑO,59,874,7723,8547,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,17203,0.991187046491673,0.0258439686352231
74,05490,ANTIOQUIA,NECOCLÍ,1919,24118,10239,5370,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,41646,2.41543703070844,0.102893036378426
75,05495,ANTIOQUIA,NECHÍ,137,491,2916,6808,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,10352,2.07198072672532,0.0768637264749939
76,05501,ANTIOQUIA,OLAYA,14,37,132,163,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,346,0.47104026887688,0.00710667891252893
77,05541,ANTIOQUIA,PEÑOL,27,112,3854,717,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4710,0.618755868335223,0.00966373841210809
78,05543,ANTIOQUIA,PEQUE,69,235,12853,1010,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,14167,1.12079533951379,0.0354899887663104
79,05576,ANTIOQUIA,PUEBLORRICO,12,131,760,295,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1198,0.54771423564157,0.00615308537736154
80,05579,ANTIOQUIA,PUERTO BERRÍO,307,417,1645,4647,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7016,1.90234195765714,0.0997372921704615
81,05585,ANTIOQUIA,PUERTO NARE,200,190,674,1045,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2109,1.49077840598706,0.0546712853829872
82,05591,ANTIOQUIA,PUERTO TRIUNFO,88,210,615,779,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1692,0.991286948756775,0.0301782423251386
83,05604,ANTIOQUIA,REMEDIOS,229,389,4597,4259,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,9474,3.03131875684753,0.161450541652016
84,05607,ANTIOQUIA,RETIRO,22,12,353,160,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,547,0.744467934724022,0.0194513018147539
85,05615,ANTIOQUIA,RIONEGRO,26,89,504,973,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1592,0.894041866247566,0.0159987749970463
86,05628,ANTIOQUIA,SABANALARGA,70,474,2774,1443,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4761,0.866990350639984,0.0217249918579819
87,05631,ANTIOQUIA,SABANETA,8,12,140,92,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,252,0.173409088629685,0.00129224267915473
88,05642,ANTIOQUIA,SALGAR,101,582,4245,1938,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,6866,0.899828286635341,0.0235148809021443
89,05647,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,27,146,1310,1117,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2600,0.874565037191617,0.0169121379469121
90,05649,ANTIOQUIA,SAN CARLOS,323,1142,28671,3874,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,34010,1.39724958076609,0.0586368251808279
91,05652,ANTIOQUIA,SAN FRANCISCO,115,837,13403,1841,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,16196,1.14841797000321,0.0290950437307732
92,05656,ANTIOQUIA,SAN JERÓNIMO,9,61,430,235,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,735,0.56721398059795,0.0131717571213078
93,05658,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,12,85,478,211,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,786,0.495454373088848,0.0103054582085204
94,05659,ANTIOQUIA,SAN JUAN DE URABÁ,476,3585,6169,2488,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,12718,0.810205294632077,0.0206704989918282
95,05660,ANTIOQUIA,SAN LUIS,339,995,25182,1939,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,28455,1.06166350009216,0.0347556657378805
96,05664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,225,2269,2460,2123,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7077,0.8303075980453,0.0180475684378984
97,05665,ANTIOQUIA,SAN PEDRO DE URABÁ,615,10999,9909,4858,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,26381,1.70954788706539,0.0493900779758302
98,05667,ANTIOQUIA,SAN RAFAEL,399,615,17515,3376,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,21905,1.03959224941933,0.0297336423224572
99,05670,ANTIOQUIA,SAN ROQUE,63,1104,4886,1173,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7226,1.22079807298576,0.0347217780986555
100,05674,ANTIOQUIA,SAN VICENTE FERRER,5,699,5292,1101,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,7097,0.771036626908704,0.0188274909636443
101,05679,ANTIOQUIA,SANTA BÁRBARA,13,146,1843,720,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,2722,0.85297609080579,0.0160080079612589
102,05686,ANTIOQUIA,SANTA ROSA DE OSOS,6,139,761,1008,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1914,1.89030032812276,0.0706959982347816
103,05690,ANTIOQUIA,SANTO DOMINGO,27,373,2611,1020,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4031,1.07034176838552,0.0217377719344697
104,05697,ANTIOQUIA,EL SANTUARIO,4,194,3492,594,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,4284,0.610588941631318,0.00681409136330688
105,05736,ANTIOQUIA,SEGOVIA,312,661,3740,7422,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,12135,1.92009583523572,0.0923207897480479
106,05756,ANTIOQUIA,SONSÓN,165,1251,12663,6974,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,21053,3.2067630625934,0.109885510605066
107,05761,ANTIOQUIA,SOPETRÁN,37,177,224,629,Desplazamiento forzado histórico por municipios en Colombia,1980-2014,Elaboración propia del CNMH. Información geográfica del informe Una nación desplazada,2021/09/22 00:00:00+00,1067,0.851220042433099,0.0178275158776778
