DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,NumeroDeSolicitudes,NumeroDePredios,NumeroDeTitulares
Antioquia,Belmira,5086,9,9,7
Amazonas,La Victoria,91430,6,6,4
Bolívar,Morales,13473,107,103,102
Huila,Tesalia,41797,7,7,6
Valle Del Cauca,La Unión,76400,21,21,14
Nariño,Ancuyá,52036,18,16,16
Risaralda,La Celia,66383,33,29,27
Tolima,Falán,73270,42,42,39
Santander,Hato,68344,11,11,9
Santander,Encino,68264,4,4,3
Tolima,Casabianca,73152,95,82,61
Cundinamarca,Guachetá,25317,1,1,1
Boyacá,Chivor,15236,19,19,5
Huila,Aipe,41016,32,32,30
Meta,Mesetas,50330,560,526,460
Risaralda,Dosquebradas,66170,23,22,19
Meta,Restrepo,50606,24,23,20
Cundinamarca,Uutica,25851,6,6,4
Córdoba,Chimá,23168,8,8,7
Tolima,Palocabildo,73520,53,51,46
Valle Del Cauca,Candelaria,76130,11,10,9
Cundinamarca,Granada,25312,10,10,6
Valle Del Cauca,Alcalá,76020,9,9,9
Santander,Simacota,68745,279,270,219
Norte Santander,Santiago,54680,11,8,8
Antioquia,Itaguí,5360,27,26,19
Córdoba,Chinú,23182,16,16,14
Norte Santander,Lourdes,54418,4,2,4
Valle Del Cauca,El Dovio,76250,155,146,88
Cundinamarca,Guayabal De Siquima,25328,20,20,19
Arauca,Puerto Rondón,81591,69,66,61
Santander,Puente Nacional,68572,5,4,5
Meta,Castilla La Nueva,50150,13,13,12
Atlántico,Juan De Acosta,8372,5,5,5
Antioquia,Caracolí,5142,4,4,4
Cundinamarca,Villapinzón,25873,6,6,4
Valle Del Cauca,Andalucía,76036,16,15,13
Meta,Uribe,50370,540,502,439
Antioquia,Cisneros,5190,3,3,3
Cauca,Puracé,19585,88,87,69
Valle Del Cauca,Bolívar,76100,328,316,204
Nariño,Francisco Pizarro,52520,50,41,34
Guainía,Morichal,94888,1,1,1
Córdoba,Ciénaga De Oro,23189,10,10,8
Cesar,Chimichagua,20175,197,184,159
Cauca,Santander De Quilichao,19698,212,205,190
Nariño,Contadero,52210,2,2,2
Cauca,Balboa,19075,134,127,118
Santander,Concepción,68207,26,21,14
Cauca,Timbío,19807,190,158,165
Cundinamarca,Villagómez,25871,9,9,6
Antioquia,Vigía Del Fuerte,5873,38,38,30
Santander,Contratación,68211,4,4,1
Tolima,Purificación,73585,51,44,46
Nariño,Mosquera,52473,50,37,34
Antioquia,La Estrella,5380,9,9,8
Caldas,San José,17665,5,5,5
La Guajira,Maicao,44430,72,67,57
Santander,Capitanejo,68147,8,7,7
Sucre,Buenavista,70110,23,22,23
Antioquia,Caicedo,5125,15,13,10
Boyacá,Berbeo,15090,10,7,8
Bolívar,Cicuco,13188,1,1,1
Risaralda,Belén De Umbría,66088,57,56,47
Nariño,Nariño,52480,1,1,1
Meta,San Carlos De Guaroa,50680,24,23,23
Huila,Acevedo,41006,97,96,84
Tolima,Natagaima,73483,306,245,229
Boyacá,Macanal,15425,7,7,4
Caldas,Palestina,17524,4,4,3
Quindío,Salento,63690,9,9,8
Sucre,Palmito,70523,11,10,11
Atlántico,Baranoa,8078,6,6,4
Atlántico,Santo Tomás,8685,2,2,2
Cesar,Gamarra,20295,42,39,35
Boyacá,Guateque,15322,8,8,7
Bolívar,Santa Catalina,13673,16,15,10
Boyacá,San Mateo,15673,9,9,6
Cesar,González,20310,2,2,2
Cundinamarca,Nimaima,25489,8,8,6
Antioquia,Guatapé,5321,22,21,16
Meta,Cumaral,50226,35,26,30
Cundinamarca,San Bernardo,25649,16,16,10
Quindío,La Tebaida,63401,10,10,8
Boyacá,Covarachía,15218,1,1,1
Antioquia,Andes,5034,32,30,29
Bolívar,María La Baja,13442,491,462,413
Cauca,Morales,19473,98,93,90
Cundinamarca,Une,25845,2,2,1
Córdoba,Pueblo Nuevo,23570,319,294,250
Magdalena,El Piñon,47258,176,176,153
Vaupés,Mitú,97001,58,56,49
Meta,Cubarral,50223,59,58,50
Cundinamarca,Carmen De Carupa,25154,1,1,0
Santander,Santa Helena Del Opón,68720,22,21,20
Cundinamarca,Zipaquirá,25899,9,6,6
Quindío,Calarcá,63130,32,29,30
Cundinamarca,Mosquera,25473,1,1,1
Santander,Jesús María,68368,6,6,4
Cundinamarca,Guasca,25322,5,4,3
Norte Santander,La Esperanza,54385,162,142,113
Nariño,Yacuanquer,52885,2,2,2
Santander,Carcasí,68152,3,3,3
Casanare,San Luis De Palenque,85325,81,52,64
Bolívar,San Cristóbal,13620,12,12,12
Meta,El Calvario,50245,34,34,23
Magdalena,Fundación,47288,419,339,364
Boyacá,Sogamoso,15759,4,4,3
Cundinamarca,Cogua,25200,1,1,1
Norte Santander,Arboledas,54051,72,67,47
Huila,Gigante,41306,99,90,86
Valle Del Cauca,Ginebra,76306,53,50,35
Norte Santander,Bucarasica,54109,32,31,27
Cauca,Timbiquí,19809,73,61,63
Córdoba,Montería,23001,1298,1212,1043
Nariño,Túquerres,52838,6,6,5
Bolívar,San Jacinto Del Cauca,13655,62,58,54
Huila,Santa María,41676,33,31,32
Cundinamarca,Supatá,25777,2,2,2
Córdoba,Cereté,23162,11,10,10
Norte Santander,Convención,54206,131,125,108
Boyacá,Villa De Leyva,15407,3,3,2
Antioquia,Olaya,5501,5,5,3
Boyacá,Turmequé,15835,1,1,1
Cundinamarca,Pasca,25535,27,27,21
Caldas,Manzanares,17433,44,40,29
Sucre,Sincé,70742,26,25,21
Sucre,San Benito Abad,70678,101,82,82
Cauca,Villa Rica,19845,6,6,6
Antioquia,Caramanta,5145,21,14,20
Cundinamarca,San Cayetano,25653,10,4,10
Cundinamarca,La Mesa,25386,9,6,9
Valle Del Cauca,Trujillo,76828,371,343,256
Cesar,San Martín,20770,235,220,186
Huila,Pital,41548,3,3,3
Antioquia,Cocorná,5197,323,282,225
Santander,Cerrito,68162,4,4,3
Nariño,La Llanada,52385,89,87,84
Santander,Páramo,68533,1,1,1
Magdalena,Cerro San Antonio,47161,20,20,14
Meta,La Macarena,50350,580,567,496
Boyacá,Pisba,15550,10,10,9
Cundinamarca,Fusagasugá,25290,38,35,28
Huila,Hobo,41349,13,13,12
Córdoba,Momil,23464,1,1,1
Nariño,Pupiales,52585,1,1,1
Chocó,San José Del Palmar,27660,197,187,146
Huila,Villavieja,41872,42,38,37
Antioquia,Don Matías,5237,7,7,5
Cundinamarca,Apulo,25599,10,10,9
Bolívar,El Peñón,13268,6,6,6
Cundinamarca,Tenjo,25799,2,2,1
Norte Santander,Labateca,54377,8,8,6
Nariño,Guachucal,52317,3,3,2
Bolívar,Turbaná,13838,46,43,28
Guainía,Mapiripana,94663,13,13,7
Nariño,Potosí,52560,13,12,12
Valle Del Cauca,San Pedro,76670,77,59,64
Norte Santander,La Playa,54398,30,29,27
Boyacá,Jenesano,15367,1,1,0
Guainía,Puerto Colombia,94884,1,1,1
Cauca,Guachené,19300,2,2,2
Bolívar,El Carmen De Bolívar,13244,2590,2238,2295
Antioquia,Gómez Plata,5310,20,20,17
Bolívar,Córdoba,13212,284,263,251
Santander,La Belleza,68377,16,15,15
Santander,Florián,68271,6,6,6
Cundinamarca,El Peñón,25258,73,73,58
Cundinamarca,Junín,25372,10,9,6
Nariño,Tangua,52788,208,192,158
Cauca,Almaguer,19022,92,82,76
Santander,Gambita,68298,7,7,6
Huila,Colombia,41206,125,120,112
Norte Santander,Pamplonita,54520,3,3,1
Valle Del Cauca,La Cumbre,76377,52,49,37
Norte Santander,Gramalote,54313,3,3,3
Tolima,Flandes,73275,5,5,3
Antioquia,Pueblorrico,5576,16,16,14
Bolívar,Zambrano,13894,362,337,313
Santander,Villanueva,68872,2,2,2
Bolívar,Arroyohondo,13062,13,12,11
Risaralda,Marsella,66440,4,4,4
Meta,El Dorado,50270,258,201,194
Huila,Tarqui,41791,9,9,9
Boyacá,Guouicán,15332,18,18,12
Cundinamarca,San Antonio Del Tequendama,25645,2,2,2
Nariño,El Peñol,52254,22,21,18
Santander,Piedecuesta,68547,33,30,31
Nariño,San Pedro De Cartago,52694,6,6,4
Cundinamarca,Tabio,25785,1,0,1
Boyacá,Floresta,15276,1,1,1
Casanare,Nunchía,85225,82,73,67
Boyacá,Maripí,15442,11,7,6
Cauca,Argelia,19050,350,309,287
Cauca,Totoró,19824,85,82,83
Quindío,Córdoba,63212,18,16,17
Magdalena,San Sebastián De Buenavista,47692,14,13,11
Santander,San Joaquín,68682,4,4,3
Bolívar,Magangué,13430,30,29,25
Santander,Macaravita,68425,30,30,24
Boyacá,Almeida,15022,3,3,2
Caquetá,Cartagena Del Chairá,18150,1011,980,948
Boyacá,Muzo,15480,23,19,19
Huila,Yaguará,41885,1,1,1
Santander,Confines,68209,1,1,1
Santander,San Gil,68679,3,3,3
Santander,Chipatá,68179,2,2,2
Boyacá,Santa María,15690,3,3,2
Cauca,Miranda,19455,56,56,53
Boyacá,Santa Sofía,15696,1,1,1
Vichada,Cumaribo,99773,949,915,771
Nariño,La Florida,52381,25,23,24
Caquetá,Florencia,18001,633,584,514
Boyacá,Tununguá,15832,1,1,1
Boyacá,Boavita,15097,1,1,1
Boyacá,Pesca,15542,6,5,6
Amazonas,El Encanto,91263,8,7,5
Sucre,Sampués,70670,8,8,6
Nariño,San Bernardo,52685,8,7,6
Antioquia,Heliconia,5347,81,61,58
Cundinamarca,La Vega,25402,5,4,3
Valle Del Cauca,Yotoco,76890,18,18,14
Antioquia,Armenia,5059,22,22,16
Santander,Los Santos,68418,5,2,4
Cauca,Florencia,19290,13,11,12
Boyacá,Campohermoso,15135,5,5,4
Cundinamarca,Facatativá,25269,2,2,1
Santander,Girón,68307,85,79,69
Caldas,Victoria,17867,60,58,52
Cundinamarca,Tena,25797,4,4,4
Antioquia,Uramita,5842,46,35,27
Boyacá,Ramiriquí,15599,5,5,1
Sucre,La Unión,70400,3,3,3
Nariño,Policarpa,52540,625,615,471
Casanare,La Salina,85136,7,7,6
Bolívar,Talaigua Nuevo,13780,5,4,5
Antioquia,Santo Domingo,5690,74,73,60
Santander,Santa Bárbara,68705,3,3,2
Boyacá,Umbita,15842,3,3,0
Valle Del Cauca,Ansermanuevo,76041,15,14,12
Cundinamarca,Funza,25286,5,5,5
Santander,Suaita,68770,14,14,12
Antioquia,El Santuario,5697,25,24,21
Cesar,Astrea,20032,71,70,58
Huila,La Plata,41396,87,84,74
Meta,San Juanito,50686,19,17,13
Cundinamarca,Cota,25214,4,4,4
Cundinamarca,Fomeque,25279,10,10,8
Córdoba,San Pelayo,23686,4,4,4
Antioquia,Támesis,5789,78,74,46
Cundinamarca,Cachipay,25123,2,2,2
Sucre,Caimito,70124,5,5,5
Santander,Coromoro,68217,7,7,6
Cundinamarca,Guatavita,25326,1,1,0
Cauca,San Sebastián,19693,51,38,44
Atlántico,Soledad,8758,19,18,14
Guainía,San Felipe,94883,4,4,4
Antioquia,Sabanalarga,5628,33,33,18
Huila,La Argentina,41378,19,19,17
Caldas,Belalcázar,17088,12,11,9
Casanare,Villanueva,85440,42,41,29
Cundinamarca,La Calera,25377,5,5,3
Cauca,Corinto,19212,100,91,89
Cauca,Padilla,19513,8,8,8
Cundinamarca,Gutiérrez,25339,12,12,7
Valle Del Cauca,Caicedonia,76122,9,9,7
Quindío,Circasia,63190,5,5,4
Santander,Enciso,68266,4,0,4
Santander,Sucre,68773,24,22,19
Antioquia,Puerto Triunfo,5591,83,79,38
Bolívar,Achí,13006,118,113,106
Valle Del Cauca,Obando,76497,32,23,27
Antioquia,Peque,5543,44,40,28
Quindío,Pijao,63548,8,8,7
Antioquia,Alejandría,5021,39,37,28
Atlántico,Manatí,8436,12,12,12
Boyacá,Susacón,15774,4,4,4
Bolívar,San Pablo,13670,270,244,206
Antioquia,San Jerónimo,5656,23,22,19
Sucre,Sucre,70771,65,65,55
Quindío,Buenavista,63111,2,2,2
Santander,Cimitarra,68190,373,353,298
Atlántico,Tubará,8832,73,54,66
Cundinamarca,Ricaurte,25612,5,5,2
Atlántico,Suan,8770,3,3,2
Huila,Elías,41244,2,2,1
Antioquia,Venecia,5861,8,8,5
Valle Del Cauca,Guadalajara De Buga,76111,229,213,186
Boyacá,Chita,15183,20,20,17
Nariño,Cuaspud,52224,3,3,3
Huila,Guadalupe,41319,32,31,28
Córdoba,Tuchín,23815,2,1,0
Putumayo,Colón,86219,6,6,5
Valle Del Cauca,Guacarí,76318,20,18,17
Boyacá,Jericó,15368,4,4,4
Cundinamarca,Pandi,25524,16,16,12
Chocó,El Cantón Del San Pablo,27135,6,6,6
Huila,Teruel,41801,14,12,13
Santander,Guadalupe,68320,2,2,2
Cundinamarca,Agua De Dios,25001,5,5,4
Boyacá,La Victoria,15401,4,1,4
Antioquia,Murindó,5475,12,11,11
Boyacá,San Pablo De Borbur,15681,21,19,18
Bolívar,Arjona,13052,128,42,118
Cundinamarca,San Francisco,25658,8,8,2
Norte Santander,Herrán,54347,2,2,1
Antioquia,Concordia,5209,32,32,27
Antioquia,Carolina,5150,1,1,1
Chocó,Unguía,27800,252,219,193
Cundinamarca,Chocontá,25183,1,1,1
Antioquia,Copacabana,5212,21,18,21
Boyacá,Panqueba,15522,2,2,1
Tolima,Melgar,73449,15,13,10
Antioquia,MEDELLÍN,5001,1107,1012,899
Vaupés,Pacoa,97511,13,13,13
Cundinamarca,Girardot,25307,8,8,6
Antioquia,Ciudad Bolívar,5101,57,56,37
Valle Del Cauca,Palmira,76520,138,134,123
La Guajira,Uribia,44847,3,3,2
Antioquia,Betulia,5093,81,73,52
Boyacá,Samacá,15646,1,1,1
Caldas,Supía,17777,24,21,23
Caldas,Marulanda,17446,37,34,25
Cundinamarca,Nariño,25483,3,2,2
Córdoba,Valencia,23855,1055,957,898
Norte Santander,Cucutilla,54223,17,17,11
Nariño,Aldana,52022,3,3,1
Antioquia,Liborina,5411,4,3,4
Antioquia,Jericó,5368,7,7,7
Cundinamarca,Caqueza,25151,9,9,5
Tolima,Suárez,73770,20,20,6
Norte Santander,Salazar,54660,20,18,18
Sucre,Coveñas,70221,6,5,5
Sucre,San Juan De Betulia,70702,19,19,16
Huila,Pitalito,41551,89,86,74
Nariño,San Pablo,52693,81,81,64
Boyacá,San Eduardo,15660,4,4,2
Vaupés,Yavaraté,97889,1,1,1
Santander,Oiba,68500,8,8,7
Antioquia,Retiro,5607,16,16,10
Cundinamarca,Soacha,25754,55,50,49
Bolívar,Villanueva,13873,115,103,101
Cundinamarca,Viotá,25878,129,121,108
Boyacá,Buenavista,15109,1,1,1
Cundinamarca,Villeta,25875,7,7,7
Huila,Altamira,41026,5,5,4
Boyacá,Viracachá,15879,1,1,1
Santander,Puerto Wilches,68575,214,200,170
Córdoba,San Bernardo Del Viento,23675,16,15,14
Santander,Guaca,68318,13,13,11
Boyacá,Soatá,15753,1,1,1
Boyacá,Mongua,15464,10,10,7
Bolívar,Tiquisio,13810,118,107,101
Antioquia,Concepción,5206,33,33,27
Antioquia,Tarazá,5790,578,549,497
Cundinamarca,Quebradanegra,25592,8,8,8
Bogotá D.C.,Bogotá,11001,379,346,279
Norte Santander,Ragonvalia,54599,13,12,8
Antioquia,Entrerrios,5264,12,12,5
Cundinamarca,Nilo,25488,5,5,4
Valle Del Cauca,La Victoria,76403,4,3,4
Cundinamarca,Albán,25019,13,13,11
Atlántico,Puerto Colombia,8573,9,9,8
Santander,Barbosa,68077,9,9,7
Boyacá,Páez,15514,83,76,71
Santander,Vélez,68861,22,20,17
Córdoba,Puerto Libertador,23580,204,190,163
Norte Santander,Silos,54743,2,2,2
Valle Del Cauca,Riofrío,76616,158,148,112
Sucre,Majagual,70429,87,83,80
Bolívar,Cantagallo,13160,123,113,108
Casanare,Recetor,85279,17,16,15
Huila,Palestina,41530,16,13,14
Casanare,Yopal,85001,116,96,105
Antioquia,San Pedro de Urabá,5665,453,414,286
Antioquia,Yalí,5885,48,36,34
Magdalena,Concordia,47205,5,5,4
Valle Del Cauca,Ulloa,76845,8,3,7
Cundinamarca,San Juan De Río Seco,25662,54,51,41
Cundinamarca,Anolaima,25040,11,11,7
Huila,Neiva,41001,222,213,202
Antioquia,San Rafael,5667,269,232,200
Huila,Rivera,41615,24,23,21
Cesar,Agustín Codazzi,20013,708,561,538
Antioquia,San José De La Montaña,5658,2,2,2
Tolima,Planadas,73555,443,403,381
Cundinamarca,Beltrán,25086,13,13,8
Valle Del Cauca,El Aguila,76243,30,30,26
Huila,Paicol,41518,4,4,4
Nariño,Pasto,52001,487,438,350
Cundinamarca,Simijaca,25745,3,3,3
Risaralda,Pereira,66001,63,59,53
Vichada,La Primavera,99524,130,127,117
Atlántico,Palmar De Varela,8520,2,2,1
Cauca,Toribio,19821,55,54,48
Magdalena,Santa Bárbara De Pinto,47720,6,5,3
Sucre,Galeras,70235,133,130,123
Cauca,Piendamó,19548,40,35,34
Cundinamarca,Topaipí,25823,71,67,56
Santander,San Miguel,68686,23,19,12
Santander,La Paz,68397,14,9,8
Atlántico,Candelaria,8141,1,1,1
Atlántico,Campo De La Cruz,8137,4,4,1
Caldas,Marquetalia,17444,32,32,27
Magdalena,Santa Ana,47707,130,116,95
Cauca,Santa Rosa,19701,374,355,328
Cundinamarca,Jerusalén,25368,10,9,9
Valle Del Cauca,Pradera,76563,135,120,116
Antioquia,Angostura,5038,54,43,37
Quindío,Quimbaya,63594,3,2,3
Boyacá,Paipa,15516,7,7,6
Norte Santander,Teorama,54800,104,95,89
Chocó,Tadó,27787,229,216,205
Nariño,Córdoba,52215,7,7,6
Santander,Charta,68169,20,17,19
Antioquia,Tarso,5792,17,11,15
Cundinamarca,El Colegio,25245,10,10,7
Valle Del Cauca,Zarzal,76895,26,26,11
Antioquia,Maceo,5425,99,88,84
Magdalena,Pivijay,47551,802,549,625
Cundinamarca,Choachí,25181,6,6,4
Cundinamarca,Gama,25299,4,4,2
Chocó,Bagadó,27073,108,106,91
Cundinamarca,Villa De San Diego De Ubaté,25843,2,2,2
Antioquia,San Vicente,5674,23,22,19
Boyacá,Chiscas,15180,15,15,13
Antioquia,San Andrés,5647,67,52,53
Antioquia,La Unión,5400,47,26,33
Amazonas,La Chorrera,91405,1,1,1
Boyacá,Moniquirá,15469,1,1,1
Cundinamarca,Gachetá,25297,5,5,4
Cundinamarca,Venecia,25506,51,48,41
Guaviare,Calamar,95015,207,201,181
Nariño,La Cruz,52378,29,25,22
Chocó,Sipí,27745,28,27,23
Amazonas,Miriti - Paraná,91460,1,1,1
Meta,El Castillo,50251,562,460,441
Boyacá,El Cocuy,15244,5,5,3
Cundinamarca,Quetame,25594,7,7,7
Cundinamarca,Ubaque,25841,7,7,3
Guaviare,Miraflores,95200,842,813,672
Antioquia,Rionegro,5615,18,17,14
Cauca,Caloto,19142,68,56,57
Putumayo,Santiago,86760,116,116,111
Santander,Guouepsa,68327,1,1,1
Norte Santander,Ocaña,54498,251,229,197
Cundinamarca,Chaguaní,25168,93,89,34
Atlántico,Polonuevo,8558,5,4,4
Guainía,Inírida,94001,15,15,15
Cesar,Pelaya,20550,448,393,357
Caquetá,Milán,18460,200,191,176
Cundinamarca,Cajicá,25126,5,5,3
Boyacá,Guayatá,15325,4,4,4
Valle Del Cauca,Argelia,76054,6,6,6
Santander,Mogotes,68464,11,10,11
Bolívar,Arenal,13042,36,31,33
Boyacá,Tipacoque,15810,1,1,1
Caldas,La Merced,17388,23,20,14
San Andrés,San Andrés,88001,2,2,1
Caldas,Manizales,17001,52,51,40
Cundinamarca,Cabrera,25120,28,26,26
Santander,Onzaga,68502,6,6,6
Antioquia,Abriaquí,5004,15,12,7
Antioquia,Puerto Nare,5585,62,61,50
Bolívar,Altos Del Rosario,13030,46,40,37
Córdoba,San Carlos,23678,9,9,8
La Guajira,Hatonuevo,44378,6,6,5
Atlántico,Sabanagrande,8634,4,4,4
Antioquia,Santa Rosa De Osos,5686,25,24,20
Nariño,San Lorenzo,52687,38,34,34
Antioquia,Guarne,5318,46,45,29
Tolima,Saldaña,73671,20,20,11
Santander,Aratoca,68051,1,1,1
Cundinamarca,Sesquilé,25736,5,4,3
Cundinamarca,Nocaima,25491,2,1,2
Tolima,Anzoátegui,73043,178,146,164
Guainía,Barranco Minas,94343,44,39,39
Caquetá,La Montañita,18410,449,417,413
Tolima,Rovira,73624,293,249,229
La Guajira,Manaure,44560,1,1,1
Antioquia,Ituango,5361,366,324,258
Meta,Barranca De Upía,50110,34,30,26
Cauca,Rosas,19622,124,114,117
Valle Del Cauca,Sevilla,76736,91,84,69
Cundinamarca,Vianí,25867,8,8,5
Boyacá,San Luis De Gaceno,15667,17,17,13
Huila,Iquira,41357,66,63,61
Tolima,Honda,73349,17,6,13
Cundinamarca,Arbeláez,25053,72,56,45
Cauca,Paez,19517,121,115,97
Tolima,Coello,73200,2,2,2
Cundinamarca,Manta,25436,5,5,2
Meta,Lejanías,50400,178,162,152
Huila,Isnos,41359,57,50,47
Santander,Socorro,68755,2,1,2
Quindío,Filandia,63272,2,2,2
Nariño,Roberto Payán,52621,177,166,122
Caldas,Filadelfia,17272,19,19,17
Antioquia,San Roque,5670,248,229,175
Valle Del Cauca,Toro,76823,15,15,12
Tolima,Alvarado,73026,92,82,73
Córdoba,Cotorra,23300,3,3,2
Amazonas,Puerto Arica,91536,5,5,2
Magdalena,Nueva Granada,47460,32,28,26
Nariño,El Tablón De Gómez,52258,1235,1215,942
Sucre,Coloso,70204,257,199,207
Santander,Cepitá,68160,3,3,1
Cundinamarca,Guayabetal,25335,29,24,17
Norte Santander,Tibú,54810,2055,1878,1485
Antioquia,Valdivia,5854,137,121,113
Boyacá,Briceño,15106,6,6,3
Norte Santander,Durania,54239,11,10,7
Casanare,Tauramena,85410,158,142,117
Nariño,Olaya Herrera,52490,91,84,74
Córdoba,Los Córdobas,23419,18,17,17
Magdalena,San Zenón,47703,6,6,4
Boyacá,Caldas,15131,2,2,2
Norte Santander,San Cayetano,54673,7,7,7
Boyacá,Guacamayas,15317,1,1,1
Nariño,El Tambo,52260,25,25,18
Córdoba,Purísima,23586,3,3,3
Antioquia,Sopetrán,5761,12,12,10
Nariño,Iles,52352,1,1,1
Antioquia,Ebéjico,5240,8,7,7
Santander,San Andrés,68669,12,12,11
Sucre,Tolú Viejo,70823,132,126,113
Meta,Fuente De Oro,50287,125,87,75
Tolima,Villahermosa,73870,159,153,132
Boyacá,Cubará,15223,14,13,12
Nariño,Arboleda,52051,3,3,1
Antioquia,Titiribí,5809,3,3,3
Cundinamarca,Puerto Salgar,25572,34,33,24
Boyacá,Belén,15087,1,1,1
Boyacá,Otanche,15507,50,40,36
Cauca,Suárez,19780,92,90,81
Santander,Málaga,68432,7,6,7
Córdoba,San Antero,23672,6,6,5
Cundinamarca,Ubalá,25839,33,32,19
Cauca,Jambaló,19364,14,14,14
Cundinamarca,Guataquí,25324,12,7,11
Sucre,Chalán,70230,158,98,135
Antioquia,Giraldo,5306,20,20,20
Nariño,Tumaco,52835,1760,1578,1380
Atlántico,Ponedera,8560,134,101,38
Boyacá,Paya,15533,33,30,29
Chocó,El Litoral Del San Juan,27250,28,27,24
Atlántico,Luruaco,8421,15,15,9
Cundinamarca,La Palma,25394,998,852,575
Antioquia,Sonsón,5756,569,414,344
Tolima,Ibagué,73001,358,324,295
Santander,Albania,68020,15,13,12
Caquetá,Morelia,18479,80,77,71
Sucre,El Roble,70233,29,27,25
Norte Santander,Puerto Santander,54553,7,6,7
Cauca,Piamonte,19533,422,411,387
Cundinamarca,Chía,25175,13,13,4
Antioquia,Carepa,5147,265,252,222
La Guajira,Distracción,44098,64,57,53
Caldas,Samaná,17662,1190,1047,954
Bolívar,Simití,13744,226,202,162
Cundinamarca,Guaduas,25320,30,26,19
Magdalena,El Retén,47268,19,12,19
Cauca,Puerto Tejada,19573,17,15,16
Cauca,Inzá,19355,73,69,69
Caldas,Risaralda,17616,15,13,15
Putumayo,Puerto Asís,86568,878,838,788
Antioquia,Yolombó,5890,132,123,97
Cauca,Bolívar,19100,312,302,227
Cauca,La Sierra,19392,97,85,87
Risaralda,Apía,66045,44,43,33
Antioquia,Envigado,5266,13,13,13
Meta,Villavicencio,50001,265,247,175
Sucre,Corozal,70215,39,14,37
Cundinamarca,Pacho,25513,118,118,61
Cundinamarca,Sasaima,25718,26,22,23
Tolima,Valle De San Juan,73854,194,175,136
Santander,Suratá,68780,42,39,29
Nariño,Guaitarilla,52320,7,6,5
Magdalena,Zapayán,47960,44,25,30
Cesar,San Alberto,20710,495,445,361
Risaralda,La Virginia,66400,6,6,6
Nariño,La Tola,52390,27,26,22
Cesar,El Paso,20250,108,108,85
Amazonas,La Pedrera,91407,3,3,1
Sucre,San Onofre,70713,370,336,286
Cesar,La Paz,20621,269,228,219
Boyacá,Socotá,15755,92,60,32
Putumayo,Sibundoy,86749,10,9,9
Santander,Guavatá,68324,4,4,3
Nariño,Consaca,52207,24,23,15
Norte Santander,Pamplona,54518,9,9,5
La Guajira,Riohacha,44001,314,286,265
Magdalena,Ariguaní,47058,106,89,85
Cauca,Mercaderes,19450,95,92,78
Antioquia,Frontino,5284,194,160,137
Antioquia,Marinilla,5440,11,11,10
Antioquia,Remedios,5604,269,263,196
Santander,Puerto Parra,68573,152,142,126
Córdoba,Puerto Escondido,23574,35,27,28
